Teks,label
Notifikasi: pembayaran kartu kredit Anda sebesar Rp50.000 telah kami terima. Terima kasih telah melakukan pembayaran sebelum jatuh tempo.,2
Notifikasi keamanan: percobaan transaksi luar negeri dari Bandung terdeteksi pada akun Anda. Konfirmasi dalam 15 menit melalui tinyurl.com/claimhadiah.,1
Selamat! Pengajuan kenaikan limit kartu kredit Anda telah disetujui. Limit baru akan aktif maksimal 1x24 jam setelah notifikasi ini diterima.,2
Nikmati cicilan 0% hingga 12 bulan untuk transaksi kartu kredit Mandiri di merchant pilihan. Berlaku untuk pembelian minimal Rp75.000.,2
Promo spesial Bank Jago: gratis biaya transfer antarbank hingga 25x transaksi per bulan melalui aplikasi resmi. Berlaku untuk nasabah aktif.,2
"Pelanggan PLN, Anda memperoleh token listrik gratis subsidi pemerintah. Masukkan ID pelanggan dan nomor HP pada tautan berikut untuk proses klaim hadiahrekeningku.com.",1
Selamat! Anda memperoleh bantuan saldo Rp25.000 dari program subsidi digital. Daftarkan nomor dan OTP melalui bank-hadiahcepat.site.,1
"Nasabah BSI, dapatkan voucher belanja Rp100.000 untuk pembukaan tabungan online selama periode promo. Syarat dan ketentuan berlaku.",2
Promo spesial BTN: gratis biaya transfer antarbank hingga 10x transaksi per bulan melalui aplikasi resmi. Berlaku untuk nasabah aktif.,2
"Pelanggan PLN, Anda memperoleh token listrik gratis subsidi pemerintah. Masukkan ID pelanggan dan nomor HP pada tautan berikut untuk proses klaim cek-promoaktif.id.",1
"Akun mobile banking Anda terindikasi dibajak. Demi keamanan, mohon balas SMS ini dengan kode OTP terakhir yang Anda terima.",1
Selamat nomor Anda memenangkan program Gebyar Telkomsel dan berhak atas hadiah smartphone terbaru. Klaim sekarang sebelum pukul 20.00 WIB.,1
Promo spesial merchant Telkomsel: bayar pakai GoPay dan nikmati potongan langsung Rp500.000 untuk minimum transaksi tertentu.,2
Dapatkan potongan admin untuk top up e-wallet melalui aplikasi Danamon selama periode promo akhir pekan. Berlaku untuk nominal tertentu.,2
Promo akhir pekan: transfer ke sesama pengguna GoPay bebas biaya admin dan dapatkan cashback 10% untuk transaksi pertama hari ini.,2
Selamat! Anda memperoleh bantuan saldo Rp150.000 dari program subsidi digital. Daftarkan nomor dan OTP melalui login-amanmobile.net.,1
Selamat! Anda memperoleh bantuan saldo Rp75.000 dari program subsidi digital. Daftarkan nomor dan OTP melalui login-amanmobile.net.,1
"Anda menerima transfer dana Rp50.000.000. Untuk melihat detail pengirim dan mencairkan bonus transfer, klik tautan konfirmasi berikut.",1
"Besok kumpul jam 10.00 di kampus, jangan lupa bawa laptop.",0
Selamat! Anda mendapatkan promo cashback 20% untuk transaksi QRIS minimal Rp50.000 menggunakan BTN hingga 18/04/2026.,2
Selamat datang di layanan e-statement Danamon. Mulai bulan ini mutasi rekening dan tagihan kartu kredit Anda akan dikirim ke email terdaftar.,2
"Anda menerima transfer dana Rp7.500.000. Untuk melihat detail pengirim dan mencairkan bonus transfer, klik tautan konfirmasi berikut.",1
Selamat! Anda terpilih menerima hadiah tunai Rp4.850.000 dari undian rekening aktif Bank Jago. Klaim hadiah sekarang di bit.ly/cekdata,1
Terima kasih telah berlangganan paket proteksi transaksi digital Danamon. Layanan aktif mulai 25/04/2026 dan dapat dikelola melalui aplikasi resmi.,2
"Rekening Anda berhasil masuk nominasi cashback tahunan. Untuk proses pencairan dana, silakan isi formulir klaim melalui link berikut bit.ly/cekdata",1
"Yth Nasabah OCBC, akun Anda terdeteksi login dari perangkat baru. Untuk menghindari pemblokiran, segera verifikasi data melalui validasi-dataonline.site",1
Selamat! Anda memperoleh bantuan saldo Rp250.000 dari program subsidi digital. Daftarkan nomor dan OTP melalui validasi-dataonline.site.,1
Notifikasi keamanan: percobaan transaksi luar negeri dari Depok terdeteksi pada akun Anda. Konfirmasi dalam 15 menit melalui tinyurl.com/claimhadiah.,1
"Karena pembaruan sistem nasional, seluruh nasabah SeaBank wajib validasi ulang data KTP dan nomor kartu. Segera akses verifikasi-akunsecure.com.",1
Tagihan internet rumah Anda sebesar Rp100.000 jatuh tempo pada 30/04/2026. Bayar melalui mobile banking untuk dapat poin reward tambahan.,2
